ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_mapping_eff
4,7,1,4,1,os,53728,39.761904761905086
4,3,4,1,1,is,139397,59.259039715471246
9,9,1,4,1,is,165393,46.21748502585862
7,7,3,1,2,is,64800,46.567676151999095
3,5,4,2,2,ws,77327,91.14702581369247
10,9,3,3,1,os,21975,31.42266894450797
8,9,2,3,1,ws,22921,73.80070546737214
7,7,3,3,3,is,64800,46.567676151999095
6,5,1,4,2,os,152270,41.977869986168955
10,5,3,2,4,ws,29524,85.76
10,4,3,3,2,os,37438,45.22027168234065
10,8,4,4,4,ws,19033,76.1
4,9,2,2,2,is,64892,45.88583259390712
9,9,1,1,2,is,165393,46.21748502585862
3,9,4,4,1,is,76926,46.502878644585564
4,6,4,4,1,ws,50103,86.19047619047618
3,9,4,3,4,ws,50195,75.74474907808242
6,3,4,4,4,ws,71109,82.60591808739953
6,9,3,4,1,ws,28657,71.69888860894153
9,9,4,2,4,is,38833,46.21748502585862
5,3,2,3,3,ws,82905,83.96801070364288
10,8,2,1,3,ws,25399,76.1
3,9,1,2,1,os,54193,43.2793499552379
6,6,3,2,1,os,40665,40.37223649256826
7,7,1,2,1,ws,30994,75.05021056041463
7,8,2,2,2,os,59715,37.27901120361805
4,4,3,1,3,os,63515,54.16666666666667
4,7,3,4,2,os,53728,39.761904761905086
6,4,3,2,1,ws,46267,91.49206349206348
6,6,1,4,1,is,180561,47.4460032053393
7,10,2,4,3,os,59361,32.394637534323124
3,8,1,1,4,is,242795,47.094227168902634
10,3,1,2,3,ws,47187,81.26913580246917
6,8,1,4,2,os,86060,38.72233748271093
8,8,4,3,4,is,49003,44.08448153887616
10,6,4,4,2,os,29213,36.36655222172475
8,9,2,1,4,ws,29214,73.80070546737214
9,6,3,3,4,os,28732,37.24024231270621
5,7,3,4,4,os,44468,37.09714691306419
3,8,2,4,2,os,53226,47.47233748271093
8,8,3,3,1,is,63644,44.08448153887616
3,5,1,2,1,is,254784,51.754025870750276
10,7,1,4,4,ws,24067,73.25714285714284
10,7,1,3,4,ws,24067,73.25714285714284
5,10,4,4,1,os,34929,35.964311951024975
8,9,4,1,3,is,45010,43.483436853002075
3,10,1,3,4,ws,49243,83.14702581369247
6,9,3,4,4,ws,28657,71.69888860894153
3,8,4,1,1,is,82551,47.094227168902634
8,7,3,1,4,os,45996,33.03281870624542
4,7,2,4,1,is,115739,47.48664313088785
5,4,3,3,3,is,101511,52.43349753694592
4,6,2,3,4,os,86663,45.039682539682275
8,7,3,2,4,ws,29551,76.66666666666666
7,7,2,2,1,is,101206,46.567676151999095
7,7,2,1,2,ws,36456,75.05021056041463
6,8,3,2,2,is,67686,44.80954840724413
5,9,4,2,2,ws,33446,73.04628109225811
5,6,4,2,1,ws,43031,83.32301196340605
4,9,1,4,2,os,41909,39.144620811287666
5,6,3,3,4,ws,43031,83.32301196340605
5,4,3,3,4,is,101511,52.43349753694592
8,3,4,4,2,ws,57559,84.75308641975309
5,4,4,1,1,is,101511,52.43349753694592
10,5,1,1,2,is,251911,48.328466329518264
3,8,2,2,2,os,53226,47.47233748271093
4,8,4,2,2,os,41348,43.125
3,6,1,1,2,os,68007,49.65795077828307
7,9,2,3,2,ws,24438,72.63290501385741
6,8,4,4,4,is,55493,44.80954840724413
5,5,2,3,2,os,60709,43.93969656640958
5,9,3,2,2,is,57623,44.27614764046542
4,7,4,1,3,is,75890,47.48664313088785
4,4,2,2,1,os,114530,54.16666666666667
4,4,2,3,4,is,111927,54.28571428571429
5,7,1,4,2,os,46687,37.09714691306419
10,7,3,3,3,ws,24067,73.25714285714284
4,4,4,1,4,ws,68955,95.95238095238096
10,6,2,3,2,os,50999,36.36655222172475
9,10,2,2,2,ws,18783,80.57848324514991
9,6,2,1,1,is,63689,49.4020846902359
3,3,4,4,2,os,126443,49.8931065689946
5,10,4,4,2,ws,32625,80.63054187192118
10,5,1,2,2,ws,29524,85.76
10,5,4,3,2,ws,29524,85.76
9,6,2,1,4,os,46161,37.24024231270621
10,6,4,2,2,os,29213,36.36655222172475
9,9,1,2,4,is,165393,46.21748502585862
9,6,3,1,4,os,28732,37.24024231270621
8,8,2,4,2,ws,23011,79.375
8,3,2,4,3,ws,57559,84.75308641975309
10,5,4,3,3,ws,29524,85.76
8,8,4,2,4,os,23554,36.38530016170328
3,9,1,1,4,ws,54152,75.74474907808242
6,9,2,3,3,is,52562,44.25182117935741
9,9,1,1,3,os,41644,32.151079075394634
4,7,3,3,3,ws,49948,78.50340136054427
9,6,2,1,4,is,63689,49.4020846902359
4,4,3,2,3,ws,62081,95.95238095238096
3,9,1,3,1,is,164549,46.502878644585564
5,3,4,3,2,is,129305,57.26574412852868
10,9,2,2,2,os,36166,31.42266894450797
3,3,2,4,1,is,161859,59.688012753941734
10,5,2,3,2,ws,29524,85.76
6,7,3,3,3,ws,36646,74.50037792894936
4,10,3,2,2,ws,38353,83.42857142857142
7,4,4,3,1,os,40871,47.72227361496557
10,8,2,1,2,ws,25399,76.1
4,5,4,2,3,is,93694,51.21082930909925
3,9,4,3,2,is,76926,46.502878644585564
4,6,1,1,3,is,181747,49.25903971547125
10,10,1,1,2,is,252076,42.376426332288325
5,8,2,4,2,is,107629,44.85583914108737
8,4,1,3,1,os,85702,46.784182275524415
5,7,2,1,3,ws,47991,75.81233872859491
6,8,3,2,3,ws,28713,77.32539682539684
8,7,1,4,4,os,66426,33.03281870624542
4,5,2,3,3,is,127977,51.21082930909925
4,4,4,2,2,os,63726,54.16666666666667
6,8,4,1,3,is,55493,44.80954840724413
10,10,3,2,4,is,42991,42.376426332288325
5,9,1,2,3,os,36762,36.60937659461297
9,8,2,3,2,os,33074,35.76432022084197
9,4,4,4,2,is,72167,54.144620811287474
5,10,4,4,4,ws,32625,80.63054187192118
5,10,4,2,4,is,56241,43.255029108822136
8,10,4,4,3,ws,22178,81.5
